Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
STATE HIGHWAY ADMINISTRATION/HIGHWAY SAFETY OPERATING,INTEGRATED DESIGN IN,"INTEGRATED DESIGN, INC.",21061,2017,228686.38,SMOOTH OPERATOR PROGRAM. FUNDING FOR BILLBOARDS AND ADVERTISING TO COMBAT AGGRESSIVE DRIVING,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/OFFICE OF HEALTH CARE QUALITY,Health Facility Association of Maryland,HEALTH FACILITY ASSOCIATION OF MARYLAND,21090,2014,109850,WOUND CARE TRAINING FOR NURSING HOME STAFF,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT - AFFORDABLE HOUSING,Empire Homes of MD Inc,"EMPIRE HOMES OF MARYLAND, INC",21201,2015,50000,AFFORDABLE HOUSING,GRANT,1,06/30/2015 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,YWCA of Annapolis and Anne Arundel County,"YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY, INC.",21012,2018,16278.52,SERVICE*TRAINING*OFFICERS*PROSECUTORS (STOP) VIOLENCE AGAINST WOMEN FORMULA GRANT PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY OFFICE,BALTIMORE METROPOLITAN COUNCIL,BALTIMORE METROPOLITAN COUNCIL,21230-4767,2014,196589,FEDERAL HIGHWAY ADMINISTRATION,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,CREATIVE ALLIANCE,CREATIVE ALLIANCE,21224,2014,76032,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,GUY FARMS INC,"GUY FARMS , INC.",21830,2014,52910,"COVER CROP PROGRAM GRANT, NUTRIENT MGT GRANT",GRANT,1,06/30/2014 12:00:00 AM
MD STATE ARTS COUNCIL,NATIONAL PHILHARMONIC ORCHESTRA,NATIONAL PHILHARMONIC ORCHESTRA,20852,2018,144914,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF,ACCUVANT INC AND ACCUVANT FEDERAL SOLUTIONS INC,ACCUVANT INC AND ACCUVANT FEDERAL SOLUTIONS INC,80202,2013,300000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND,L,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,BALTIMORE METROPOLITAN ALUMNAE DELTA SIGMA THETA,BALTIMORE METROPOLITAN COUNCIL,21217-4817,2014,217476.71,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION - LMI COMMUNITY GRANTS,Rebuilding Together Montgomery County FY15,REBUILDING TOGETHER MONTGOMERY COUNTY,20895,2015,125000,ENERGY EFFICIENCY GRANTS FOR EFFICIENCY UPGRADES IN THE LOW AND MODERATE INCOME SECTOR.,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD BIOTECHNOLOGY CENTER,REMEDIUM TECHNOLOGIES INC,REMEDIUM TECHNOLOGIES INC,20742,2014,159280,BIOTECHNOLOGY CENTER GRANT - TRANSLATIONAL RESEARCH AWARD,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ABERDEEN PROVING GROUND CHILD DEVELOPING SER,ABERDEEN PROVING GROUND CHILD DEVELOPING SER,21005-5001,2012,16171.82,CASH FOR COMMOD - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION - AID TO NON PUBLIC INSTITUTIONS,St John's College,ST. JOHN'S COLLEGE,21404 - 2800,2015,548434,SELLINGER FORMULA AID,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,MATTHEW TOMS,MATTHEW TOMS,21793,2013,57286.5,COVER CROP GRANT,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/ASSISTANCE TO STATE FOR EDUCATING CHILDREN WITH DISABILITIES,KENNEDY KRIEGER CHILDREN'S HOSPITAL INC,"KENNEDY KRIEGER CHILDREN'S HOSPITAL, INC.",21213,2017,172852,ASSISTANCE TO STATE FOR ED STUDENTS WITH DISABILITIES,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD STATE ARTS COUNCIL  -,BALTIMORE FESTIVAL OF THE ARTS INC,BALTIMORE FESTIVAL OF THE ARTS INC,21202,2012,54332,GRANTS FOR ART ORGANIZATION,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF,City of Baltimore Development Corp,CITY OF BALTIMORE DEVELOPMENT CORP.,21201,2015,5150000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/SENIOR RIDE,Partners In Care,"PARTNERS IN CARE, INC.",21122,2014,65000,TRANSIT OPERATING FUNDING,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/OPERATING ASSISTANCE GRANTS (OAG) COUNSELING,Homefree USA,HOMEFREE USA,20782,2013,300000,HOUSING OPERATING ASSISTANCE GRANTS (OAG),GRANT,1,06/30/2013 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION - C&I DEEP ENERGY RETROFIT PROGRAM,C-Care (FY15),C-CARE (FY15),21090,2015,434473,ENERGY EFFICIENCY GRANTS FOR AUDITS/UPGRADES IN THE COMMERCIAL AND INDUSTRIAL SECTOR,GRANT,1,06/30/2015 12:00:00 AM
EMPLOYMENT ADVANCEMENT RIGHT NOW (EARN) MD,Finishing Trades Institute,FINISHING TRADES INSTITUTE OF MARYLAND,20706,2018,300000,PROVIDES GRANTS TO HELP BUSINESSES CULTIVATE A SKILLED WORKFORCE.,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF COMMERCE/PRESERVATION OF CULTURAL ARTS PROGRAM,NATIONAL PHILHARMONIC ORCH & CHORALE/MONT CO INC,NATIONAL PHILHARMONIC ORCHESTRA,20852,2016,167339,THE GENERAL ASSEMBLY OF MD HAS AUTHORIZED THE GRANT ASSISTANCE THROUGH AN APPROPRIATION THE ANNUAL STATE BUDGET   FROM THE PRESERVATION OF CULTURAL ARTS FUND FOR MARYLAND ARTS COUNCIL- GRANTS FOR ORGANIZATIONS,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND TRANSIT ADMINISTRATION/SECTION 5309 CAPITAL/JOB ACCESS,DELMARVA COMMUNITY SERVIC,"DELMARVA COMMUNITY SERVICES, INC.",21613-0637,2017,434131,LOTS-CAPITAL,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF AGING/STATE NUTRITION,"MAC, Inc.","MAC, INC.",20850,2017,210328,NUTRITION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF PLANNING/MHT-HISTORICAL AND CULTURAL MUSEUM ASSISTANCE PROGRAM,"B&O Railroad Museum, Inc.","B&O RAILROAD MUSEUM, INC.",21223,2009,75000,FY 2009 MUSEUM ENHANCEMENT GRANT - SUPPORT FOR PHASE 2 EDUCATIONAL PROGRAMMING,GRANT,1,06/30/2009 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,Apples For Children Inc,APPLES FOR CHILDREN INC,21740,2009,99603,EARLY CHILDHOOD PROGRAMS,GRANT,1,06/30/2009 12:00:00 AM
EMPLOYMENT ADVANCEMENT RIGHT NOW (EARN) MD,Baltimore Alliance for Careers in Healthcare,BALTIMORE ALLIANCE FOR CAREERS IN HEALTHCARE,21218,2018,200000,PROVIDES GRANTS TO HELP BUSINESSES CULTIVATE A SKILLED WORKFORCE.,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/DIVISION OF BUSINESS SERVICES,MARYLAND HOSPITALITY EDUCATION FOUNDATION,MARYLAND HOSPITALITY EDUCATION FOUNDATION,21046,2012,97500,TEAM NUTR TRNG FOR HEALTHY SCHOOL MEALS,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/FORECLOSURE MEDIATION,Shore UP Inc.,"SHORE UP, INC.",21804,2016,64348,FORECLOSURE MEDIATION,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGING/SENIOR CARE,"Allegany Co. Human Resources Development Commission, Inc.","ALLEGANY CO. HUMAN RESOURCES DEVELOPMENT COMMISSION, INC.",21502,2010,201710,IN HOME PERSONAL CLIENT SERVICES,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF LABOR LICENSING AND REGULATION - DIVISION OF UNEMPLOYMENT INSURANCE,"Xerox State & Local Solutions, Inc.","XEROX STATE & LOCAL SOLUTIONS, INC.",22013,2015,6822988.15,TO PROVIDE SERVICES TO CONTINUE THE ICON DATA PROCESSING AND DATA EXCHANGE SYSTEMS SUPPORTING THE DATA PROCESSING AND DATA EXCHANGE NEEDS OF THE 53 STATE WORK FORCE AGENCIES IN ACCORDANCE WITH THE REQUIREMENTS.,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS & ECONOMIC DEVELOPMENT/MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY,Worldwide Corporation,WORLDWIDE CORPORATION,21218,2010,240000,"CONTRACT FINANCE LINE OF CREDIT OF $240,000 MAX",LOAN,1,06/30/2010 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,Key Bridge Foundation,KEY BRIDGE FOUNDATION CENTER FOR CONFLICT RESOLUTION,20774,2016,55000,COMMUNITY MEDIATION PERFORMANCE FUNDING AT LEVEL 3 FOR THE PURPOSE OF OPERATING THE CENTER ACCORDING THE 10-POINT MODEL OF COMMUNITY MEDIATION.,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,DAVID L DENNY,DAVID L DENNY,216571818,2017,140346,COVER CROP,GRANT,1,06/30/2017 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Community Mediation Maryland,COMMUNITY MEDIATION MARYLAND,20912,2016,61892,TRAINING AND SUPPORT FOR COMMUNITY MEDIATION PROGRAMS,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Capitol College,CAPITOL COLLEGE,20708-9759,2017,532965,SELLINGER FORMULA AID,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"TurnAround, Inc. (Baltimore County)","TURNAROUND, INC.",21204-4804,2011,29262,SURVIVORS' NETWORK AND TRAUMA PREVENTION,GRANT,1,06/30/2011 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Maryland Children's Alliance,MARYLAND CHILDREN'S ALLIANCE,21014,2009,50988.39,CHILD ADVOCACY CENTERS SUPPORT,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/CHILDREN AT RISK,FOUNDATION FOR Baltimore Leadership School for Young Women (BLSYW),FOUNDATION FOR BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN (BLSYW),21201,2014,178901,TWENTY FIRST CENTURY LEARNING,GRANT,1,06/30/2014 12:00:00 AM
BOARDS AND COMMISSIONS/COMMUNITY SEXUAL ASSAULT PREVENTION AND AWARENESS,"For All Seasons, Inc.","FOR ALL SEASONS, INC.",21601,2013,317440.51,RAPE CRISIS PREVENTION AND AWARENESS,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/EE L&M INCOME COMMUNITY GRANTS,Diversified Housing Development - Baltimore County,"DIVERSIFIED HOUSING DEVELOPMENT, INC.",21244-3125,2010,300000,DIVERSIFIED HOUSING WILL AUDIT AND WEATHERIZE 50 HOMES IN BALTIMORE COUNTY.,GRANT,1,06/30/2010 12:00:00 AM
MD STATE ARTS COUNCIL,Arts Council of Calvert County,ARTS COUNCIL OF CALVERT COUNTY,20678,2018,129634,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARYLAND AGRICULTURAL LAND PRESERVATION FOUNDATION,"Ralph Harcum, Michael Harcum, Ann Harcum & Dawn Adkins-Harcum","RALPH HARCUM, MICHAEL HARCUM, ANN HARCUM & DAWN ADKINS-HARCUM",21830,2009,413000,PURCHASE DEVELOPMENT RIGHTS EASEMENT ON FARM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF JUVENILE AND FAMILY SERVICES,CASA of Baltimore County,"CASA OF BALTIMORE, INC.",21204,2018,145000,ADVOCACY FOR CHILDREN IN FOSTER CARE.,GRANT,1,06/30/2018 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"House of Ruth Maryland, Inc.","HOUSE OF RUTH MARYLAND, INC.",21218,2017,511198,FAMILY VIOLENCE PREVENTION AND SERVICES ACT FORMULA GRANTS,GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Maryland Crime Victims' Resource Center, Inc.","MARYLAND CRIME VICTIMS' RESOURCE CENTER, INC.",20774,2018,123452.45,SURVIVORS OF HOMICIDE GRANT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,MATTHEW HOFF,MATTHEW HOFF,21776-9513,2011,118150,COVER CROP,GRANT,1,06/30/2011 12:00:00 AM
MEDIATION & CONFLICT RESOLUTION OFFICE,Key Bridge Foundation Center Mediation & Education,KEY BRIDGE FOUNDATION CENTER FOR CONFLICT RESOLUTION,20774,2018,80000,COMMUNITY MEDIATION SERVICES,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,MARYLAND RURAL DEVELOPMENT CORP,MARYLAND RURAL DEVELOPMENT CORP,21403,2012,6620.72,CASH FOR COMMOD - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
BOARDS AND COMMISSIONS/COMPREHENSIVE SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,"Citizens Assisting and Sheltering the Abused, Inc. (CASA)","CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC. (CASA)",21740,2014,89748,DOMESTIC VIOLENCE PREVENTION,GRANT,1,06/30/2014 12:00:00 AM
BOARDS AND COMMISSIONS/VIOLENCE AGAINST WOMEN,Family & Children's Services of Central MD,FAMILY & CHILDREN'S SERVICES OF CENTRAL MARYLAND,21209,2013,979490.74,DOMESTIC VIOLENCE COURT ADVOCACY,GRANT,1,06/30/2013 12:00:00 AM
OFFICE OF BUSINESS DEVELOPMENT,MONTGOMERY COUNTY CHAMBER C,MONTGOMERY COUNTY CHAMBER C,20850,2018,171149.02,ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/COMMUNITY LEGACY,Housing Initiative Partnership,"HOUSING INITIATIVE PARTNERSHIP, INC.",20782,2009,375000,ACQUIRE/REHAB HOUSING IN PALMER PARK,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - STATE AIDED EDUCATIONAL INSTITUTIONS,Calvert Marine Museum Society Inc,CALVERT MARINE MUSEUM SOCIETY INC,20688,2015,50000,OTHER STATE AIDED INSTITUTIONS,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Capitol College,CAPITOL COLLEGE,20708-9759,2016,486874,SELLINGER FORMULA AID,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/WEATHERIZATION - MD ENERGY ASSISTANCE,Prince Georges County Housing,PRINCE GEORGES COUNTY HOUSING,20785,2011,50000,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/OAG COUNSELING,Park Heights Renaissance Inc.,"PARK HEIGHTS RENAISSANCE, INC.",21215,2014,77467,OPERATING ASSISTANCE GRANTS (OAG),GRANT,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF TRANSPORTATION - AIRPORT FACILITIES AND CAPITAL EQUIPMENT,1800 South Clinton St LLC,1800 SOUTH CLINTON ST LLC,21224,2015,544279,STATEWIDE AVIATION GRANT PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/FREEDOM FLEET VOUCHER PROGRAM,Nestle Waters 394-413,NESTLE WATERS,20706,2017,195000,PROGRAM PROVIDES FINANCIAL ASSISTANCE FOR THE PURCHASE OF NEW AND CONVERTED ALTERNATIVE FUELED VEHICLES REGISTERED IN MARYLAND,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/HIGHWAY SAFETY OPERATING,DK CONSULTING LLC,DK CONSULTING LLC,20777,2011,113732.46,MOTOR CARRIER SAFETY PROGRAM,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - STUDENTS WITH DISABILITIES,Linwood Center Inc,LINWOOD CENTER INC,21043,2015,60000,STUDENTS W/DISAB.-NONPUBLIC PLACEMENTS,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD BIOTECHNOLOGY CENTER,HARPOON MEDICAL INC,HARPOON MEDICAL INC.,21666,2014,100000,BIOTECHNOLOGY CENTER GRANT - TRANSLATIONAL RESEARCH AWARD,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,WOODBOURNE CENTER INC,WOODBOURNE CENTER INC,21239-3399,2012,35101.2,SCHOOL BREAKFAST PROGRAM,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,KEITH LEAVERTON,KEITH LEAVERTON,21673,2012,92485,COVER CROP,GRANT,1,06/30/2012 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,MARYLAND FAMILY NETWORK,"MARYLAND FAMILY NETWORK, INC.",212024364,2016,600000,RACE TO THE TOP - EARLY LEARNING CHALLENGE,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,"BELLE AIRE FARMS, INC.","BELLE AIRE FARMS, INC.",21663,2011,67080,COVER CROP,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,HARLAN Z GOOD,HARLAN Z GOOD,21632,2016,90037.5,"OTHER GRANTS, SUBS & CONTRIBUTION",GRANT,1,06/30/2016 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - EARLY CHILDHOOD PRESCHOOL SPECIAL ED PGM,The Young School,THE YOUNG SCHOOL,21046,2015,56000,PREKINDERGARTEN EXPANSION PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
"MILITARY DEPARTMENT /MARYLAND MILITARY DEPT., MEMA",Civista Medical Center,CIVISTA MEDICAL CENTER INC,20646,2016,1900360,FEMA DR 4091 HAZARD MITIGATION,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF COMMERCE/MD STATE ARTS COUNCIL,ARTS & HUMANITIES COUNCIL OF MONTGOMERY CO,ARTS & HUMANITIES COUNCIL OF MONTGOMERY COUNTY,20910,2016,146404,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,UNION BAPTIST CHURCH,UNION BAPTIST CHURCH,21217-3096,2013,6487,CASH FOR COMMOD - CHILD CARE,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MARYLAND COMMUNITY HEALTH RESOURCES COMMISSION,MedStar St. Mary's Hospital,MEDSTAR ST. MARY'S HOSPITAL,20650,2017,235768,HEALTH ENTERPRISE ZONE,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/BALTIMORE TO REGIONAL NEIGHBORHOOD IMITATIVE (BRNI),Dundalk Renaissance Corp,DUNDALK RENAISSANCE CORPORATION,21222,2014,922000,BALTIMORE TO REGIONAL NEIGHBORHOOD IMITATIVE (BRNI),LOAN,1,06/30/2014 12:00:00 AM
MARYLAND DEPARTMENT OF PLANNING/MDP- HERITAGE AREAS AUTHORITY,"Heart of the Civil War Heritage Area, Inc.","HEART OF THE CIVIL WAR HERITAGE AREA, INC.",21701,2017,120000,FY 2016 & FY 2017 MHAA GRANTS - OPERATING ASSISTANCE,GRANT,1,06/30/2017 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,GAPBUSTER INC,"GAPBUSTER, INC.",20918,2016,332089,21ST CENTURY COMMUNITY LEARNING CENTERS,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,A N HARPER & SON INC,A N HARPER & SON INC,21631,2014,65352,COVER CROP PROGRAM GRANT,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RESOURCE ASSESSMENT SERVICE,Chesapeake Bay Commission,CHESAPEAKE BAY COMMISSION,21401,2014,225000,"THE COMMISSION WAS FORMED IN 1980 BY THE GENERAL ASSEMBLES OF MARYLAND AND VIRGINIA TO ASSIST THE STATES IN COOPERATIVELY MANAGING THE CHESAPEAKE BAY.  IN 1985, THE COMMONWEALTH OF PENNSYLVANIA JOINED THE COMMISSION.  THE COMMISSION IS A SIGNATORY TO THE CHESAPEAKE BAY AGREEMENT, WHICH SERVES AS THE FRAMEWORK FOR THE MULTI-JURISDICTIONAL CHESAPEAKE BAY PROGRAM. THE COMMISSION SERVES AS THE LEGISLATIVE ARM OF THE CHESAPEAKE BAY PROGRAM AND IS THEREFORE FULLY INVOLVED IN THE RESTORATION AND PROTECTION OF THE CHESAPEAKE BAY.",GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/OFFICE OF GRANTS MANAGEMENT,Frederick Memorial Hospital,FREDERICK MEMORIAL HEALTHCARE SYSTEM,21701,2010,166576,FUNDS ARE USED TO PROVIDE SERVICES TO VICTIMS OF CRIME,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY,"NATURE ISLE, LLC & SCHLOTTERBECK/FOSS","NATURE ISLE, LLC & SCHLOTTERBECK/FOSS",20816,2011,99513,MSBDFA EQUITY PARTICIPATION LOAN TERM LOAN,LOAN,1,06/30/2011 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/DIVISION OF REHABILITATION SERVICES - CLIENT SERVICES,THE ARC OF CARROLL COUNTY INC,"THE ARC OF CARROLL COUNTY, INC.",21158,2017,57287,REHABILITATION ACT OF 1973 - BASIC SUPPORT - VOCATIONAL REHABILITATION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/LOCAL CHILD WELFARE SERVICES,Catholic Charities,CATHOLIC CHARITIES,21093,2009,74248,FUNDS ARE USED TO PROVIDE COMMUNITY BASED SERVICES TO PROMOTE THE WELL BEING OF CHILDREN AND FAMILIES BY IDENTIFYING FAMILIES WHO HAVE ONE OR MORE RISK FACTORS FOR CHILD MALTREATMENT.,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF AGRICULTURE/GRANTS TO NON-GOV ENTITIES,GREAT FREDERICK FAIR,GREAT FREDERICK FAIR,21705-0604,2014,58500,OTHER GRANTS-FAIRS,GRANT,1,06/30/2014 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Baltimore Child Abuse Center, Inc.","BALTIMORE CHILD ABUSE CENTER, INC.",21218,2017,25650,VIOLENCE AGAINST WOMEN,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION OPERATIONS,St Mary'S Soil Conservation District,ST MARY'S SOIL CONSERVATION DISTRICT,20650,2019,139317,RENT FOR STATE EMPLOYEES,GRANT,1,06/30/2019 12:00:00 AM
MOTOR VEHICLE ADMINISTRATION/MARYLAND HIGHWAY SAFETY,Washington College,WASHINGTON COLLEGE,21620-1197,2017,345959.86,"FUNDS DATA ENHANCEMENTS TO THE TRAFFIC RECORDS SYSTEMS FOR COMPILING AND ANALYZING CRASH DATA AND CRIMINAL CITATION DATA. ($345,959.86 FEDERAL FUNDS)",GRANT,1,06/30/2017 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - EARLY CHILDHOOD PRESCHOOL SPECIAL ED PGM,Vasuma LLC DBA at Kiddie Acad of Kent Island,VASUMA LLC DBA AT KIDDIE ACAD OF KENT ISLAND,20906,2015,112000,PREKINDERGARTEN EXPANSION PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
LIFE SCIENCE INVESTMENT FUND,Orpheris Corp,ORPHERIS CORP.,21205,2018,200000,COMMERCIALIZATION INVESTMENT,LOAN,1,06/30/2018 12:00:00 AM
MD STATE ARTS COUNCIL,Caroline County Council of Arts Inc.,CAROLINE COUNTY COUNCIL OF ARTS INC.,21629,2018,125920,MD STATE ARTS COUNCIL COMMUNITY ARTS DEVELOPMENT GRANT,GRANT,1,06/30/2018 12:00:00 AM
GOVERNOR'S OFFICE OF COMMUNITY INITIATIVES,Community Mediation Corps,COMMUNITY MEDIATION CORPS,20912,2018,184596.17,AMERICORPS STATE SERVICE FUNDING,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,THE CHILDREN'S HOME INC,THE CHILDREN'S HOME INC,21228,2012,6151.12,SECTION 11 - SCHOOL LUNCH,GRANT,1,06/30/2012 12:00:00 AM
